date,count,distance,time,elevationGain,avgSpeed,avgHR,avgRunCadence,avgCyclingCadence,calories,
2016-06-06,2,50.42,3:55:13,4469,12.9,124,--,64,1900,
2016-05-30,2,50.25,4:01:20,4380,12.5,124,--,61,2108,
2016-05-23,2,46.40,3:52:19,4370,12.0,121,--,61,1937,
2016-05-16,2,46.65,3:51:16,4304,12.1,124,--,60,1996,
2016-05-09,1,22.13,1:54:37,2123,11.6,120,--,58,923,
2016-05-02,3,39.24,3:24:35,3533,11.5,117,--,61,1249,
2016-01-11,2,46.45,4:59:00,4409,9.3,111,--,62,1448,
2016-01-04,1,24.16,2:03:11,2300,11.8,121,--,64,754,
2015-11-30,1,23.97,2:03:03,2247,11.7,123,--,64,767,
2015-11-23,1,22.24,1:54:44,2106,11.6,123,--,62,736,
2015-11-09,1,22.23,1:43:22,2119,12.9,119,--,64,644,
2015-11-02,1,24.11,1:51:09,2280,13.0,124,--,66,769,
2015-10-26,2,48.71,3:38:51,4242,13.4,119,--,65,2270,
2015-10-19,3,72.48,5:33:59,6414,13.0,121,--,66,2298,
2015-10-12,2,50.01,3:51:14,4350,13.0,122,--,66,1486,
2015-10-05,3,72.30,5:41:26,6437,12.7,122,--,67,2185,
2015-09-28,2,49.57,3:52:07,4321,12.8,122,--,68,1541,
2015-09-14,3,46.78,3:35:18,4318,13.0,123,--,67,1549,
2015-09-07,2,49.42,3:59:29,4659,12.4,121,--,65,1492,
2015-08-31,3,72.66,5:40:59,6519,12.8,117,--,65,3867,
2015-08-24,2,44.97,3:40:39,4054,12.2,120,--,61,5046,
2015-08-10,2,24.59,3:36:02,1935,6.8,122,--,67,3782,
2015-08-03,2,43.71,3:39:26,3661,12.0,118,--,61,5051,
2015-07-27,3,67.57,5:08:11,5423,13.2,121,--,61,8001,
2015-07-20,1,16.08,1:43:49,488,9.3,129,--,55,1561,
2015-07-13,3,72.50,5:23:45,6560,13.4,120,--,65,8389,
2015-07-06,2,48.41,3:41:02,4109,13.1,119,--,65,5182,
2015-06-22,2,47.03,3:32:48,3380,13.3,120,--,65,4597,
2015-06-15,3,72.21,5:24:22,6282,13.4,118,--,67,7702,
2015-06-08,1,22.05,1:39:57,1967,13.2,126,--,66,2406,
2015-06-01,2,45.79,3:26:34,4235,13.3,125,--,67,5083,
2015-05-25,1,23.79,1:48:57,2297,13.1,126,--,68,2707,
2015-05-18,1,26.32,1:56:26,2143,13.6,119,--,66,2409,
2015-05-11,2,47.18,3:41:16,4488,12.8,116,--,63,5520,
2015-05-04,3,102.66,7:48:08,10055,13.2,116,--,65,10106,
2015-04-27,2,46.47,3:34:58,4244,13.0,122,--,63,4711,
2015-04-20,1,22.10,1:43:46,2034,12.8,115,--,63,2455,
2015-04-13,3,72.65,5:32:45,6373,13.1,120,--,63,7897,
2015-04-06,1,26.29,1:59:17,3723,13.2,122,--,65,3042,
2015-03-30,2,46.80,3:55:33,4158,11.9,121,--,61,5371,
2015-03-16,1,20.73,1:45:59,2115,11.7,111,--,64,2660,
2015-03-02,3,72.04,5:26:27,6329,13.2,121,--,59,7800,
2015-02-23,2,47.11,3:32:44,3809,13.3,128,--,63,5056,
2015-02-16,2,45.43,3:28:21,4232,13.1,122,--,66,4941,
2015-02-09,1,24.66,2:01:20,2344,12.2,128,--,65,2860,
2015-02-02,1,22.08,1:45:10,1948,12.6,115,--,64,2430,
2014-10-20,3,73.20,5:31:31,6252,13.2,118,--,66,7222,
2014-10-13,2,46.21,3:30:23,4176,13.2,122,--,68,5027,
2014-09-29,3,72.60,5:25:07,6454,13.4,120,--,67,7968,
2014-09-22,2,46.88,3:39:06,4316,12.8,120,--,67,5472,
2014-09-15,3,64.02,4:50:05,5125,13.2,116,--,63,6156,
2014-09-08,3,71.15,5:20:15,6804,13.3,120,--,67,6937,
2014-09-01,1,23.57,1:43:22,2300,13.7,125,--,70,2122,
2014-08-25,1,24.94,2:08:35,2217,11.6,110,--,64,2413,
2014-08-18,3,65.96,4:58:39,6097,13.3,116,--,66,6383,
2014-08-11,3,73.34,5:23:03,6339,13.6,119,--,67,7980,
2014-08-04,2,51.78,3:46:05,4496,13.7,122,--,69,5462,
2014-07-28,3,114.97,13:24:36,10695,8.6,119,--,67,13340,
2014-07-21,3,88.21,6:36:47,8233,13.3,125,--,67,9503,
2014-07-14,3,70.75,5:17:59,6491,13.3,118,--,63,8258,
2014-07-07,2,46.98,3:25:50,4370,13.7,128,--,67,4997,
2014-06-30,1,24.83,1:49:59,2333,13.5,124,--,65,2623,
2014-06-23,3,69.37,5:00:45,6172,13.8,125,--,68,7868,
2014-06-16,1,47.86,3:13:21,2954,14.9,125,--,69,3864,
2014-06-09,2,46.30,3:23:14,4247,13.7,123,--,68,5125,
2014-06-02,3,71.03,5:20:15,6623,13.3,119,--,66,8228,
2014-05-26,3,90.87,6:19:37,8097,14.4,132,--,71,9789,
2014-05-19,3,70.96,5:02:53,6542,14.1,124,--,69,8066,
2014-05-12,1,23.81,1:42:34,2226,13.9,130,--,71,2641,
2014-05-05,2,50.22,3:33:11,4345,14.1,122,--,57,5759,
2014-04-28,2,48.68,3:43:50,4638,13.0,121,--,31,5483,
2014-04-21,2,63.32,4:21:14,7151,14.5,123,--,0,6785,
2014-04-14,3,71.88,5:14:30,7037,13.7,116,--,0,7558,
2014-04-07,2,50.00,3:39:14,4127,13.7,116,--,0,5221,
2014-03-24,3,86.14,6:08:09,8349,14.0,126,--,0,8917,
2014-03-17,3,87.11,6:18:46,8824,13.8,123,--,0,8148,
2014-03-10,2,49.87,3:46:26,4153,13.2,121,--,0,4713,
2014-03-03,3,72.10,5:30:28,6047,13.1,122,--,1,7333,
2014-02-24,1,21.85,1:43:08,1870,12.7,122,--,0,2178,
2014-02-17,2,49.62,4:26:04,4171,11.2,125,--,0,4838,
2014-02-10,1,25.98,2:00:31,1985,12.9,127,--,0,2453,
2014-01-27,2,45.66,3:22:31,4566,13.5,123,--,0,4870,
2014-01-20,2,49.90,3:36:28,4111,13.8,122,--,0,5275,
2014-01-13,4,112.38,8:03:49,9556,13.9,123,--,28,10810,
2014-01-06,2,49.83,3:49:15,3965,13.0,117,--,65,5030,
2013-12-30,3,82.60,6:11:20,7792,13.3,125,--,69,7997,
2013-12-16,3,68.95,5:45:40,6812,12.0,123,--,69,6636,
2013-12-09,1,24.15,1:51:07,2118,13.0,120,--,69,2468,
2013-12-02,3,63.64,5:33:52,5811,11.4,114,--,70,6573,
2013-11-25,4,89.79,8:35:02,10589,10.5,118,--,73,8673,
2013-11-18,2,60.29,4:18:12,5964,14.0,128,--,71,7326,
2013-11-11,3,88.36,6:06:59,7679,14.4,124,--,69,10602,
2013-11-04,1,26.20,1:56:17,2096,13.5,110,--,70,3558,
2013-10-28,3,81.38,5:41:07,7695,14.3,121,--,71,9217,
2013-10-21,3,72.27,5:16:30,6329,13.7,116,--,70,7978,
2013-10-14,2,70.79,4:58:54,6442,14.2,121,--,71,7216,
2013-10-07,2,51.87,3:46:08,5058,13.8,128,--,72,5331,
2013-09-30,2,50.30,3:35:07,4023,14.0,117,--,63,5023,
2013-09-23,3,87.92,6:06:58,7965,14.4,124,--,59,8886,
2013-09-16,3,72.14,5:12:36,5956,13.8,120,--,62,6609,
2013-09-09,3,72.08,5:14:09,5954,13.8,120,--,0,6315,
2013-09-02,3,71.84,5:13:34,6063,13.7,120,--,66,6792,
2013-08-26,2,46.64,3:25:39,4277,13.6,120,--,0,5033,
2013-08-19,3,70.69,5:14:42,6534,13.5,122,--,0,7408,
2013-08-12,4,136.78,9:32:53,8241,14.3,129,--,0,15317,
